index,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,Aad,Macnee,F,302,902-8471,SAINT GEORGES,DE,19733,S,N,35000,4.245455,110,0,0
4,Aad,Swick,F,702,523-6886,MINDEN,NV,89423,S,Y,85000,0.0,0,0,0
7,Aad,Drabenstott,F,502,261-9405,HITCHINS,KY,41146,S,N,10000,2.3888888,20,0,0
9,Aad,Hellwagner,F,202,390-9387,WASHINGTON,DC,20002,M,Y,100000,9.0,0,2740,1370
10,Aad,Tavangarian,F,541,591-4088,CORVALLIS,OR,97330,S,Y,40000,9.0,159,0,159
11,Aad,McElwain,F,406,737-6384,MONARCH,MT,59463,S,Y,20000,6.9,1900,0,1900
18,Aad,Carchiolo,F,419,729-4123,HOLLOWAY,OH,43985,S,N,35000,1.7078462,1300,0,0
19,Aad,Willhoft,F,920,912-3476,EAST ELLSWORTH,WI,54010,M,Y,65000,5.575788,0,1400,400
23,Aad,Brodman,F,202,916-6394,WASHINGTON,C,20003,S,N,45000,9.0,1370,0,0
24,Aad,Sweazey,F,406,748-2949,WINNETT,empty,59087,M,N,60000,6.9,0,3800,0
25,Aad,Beyers,F,240,392-2784,UPPER FALLS,MD,21156,M,Y,50000,4.75,0,4800,2400
26,Aad,Commoner,F,708,633-7510,MURRAYVILLE,IL,62668,M,Y,95000,3.0,0,4000,2000
27,Aad,Vignat,F,907,275-5442,DELTA JUNCTION,AK,99737,M,Y,25000,0.0,0,0,0
31,Aahok,Brlek,M,563,885-7225,DES MOINES,IA,50947,S,Y,20000,3.2516527,40,0,40
33,Aahok,Fortune,M,252,797-3663,LINVILLE,NC,28646,S,Y,75000,7.305944,3300,0,3300
34,Aahok,Pelletreau,M,939,427-9259,SAN JUAN,PR,936,M,Y,50000,0.0,0,0,0
35,Aahok,Rouchaleau,M,505,701-3654,EMBUDO,NM,87531,M,N,95000,5.3,0,6600,0
40,Aahok,Bracho,M,701,157-7214,GLENBURN,ND,58740,M,Y,30000,2.1034775,0,6600,3300
43,Aahok,Krishna,M,808,242-7133,KEAUHOU,HI,96739,M,N,95000,8.25,0,2080,0
46,Aahok,Malhis,M,660,275-8033,CONCEPTION,MO,64433,M,N,10000,6.0,0,4200,0
47,Aahok,Weiland,M,603,394-5832,DOVER,NH,3822,M,Y,65000,0.0,0,0,0
50,Aahok,Ciotti,M,870,248-4164,SHIRLEY,AR,72153,M,Y,10000,2.5778654,0,40,20
53,Aamer,Jorgensen,F,702,282-4358,COYOTE SPRINGS,NV,89037,S,N,65000,0.0,0,0,0
56,Aamer,Belcastro,F,337,886-7876,BATON ROUGE,LA,70811,S,N,90000,6.0,4500,0,0
60,Aamer,Tokunaga,F,208,492-2050,TWIN FALLS,ID,83301,M,N,60000,7.8,0,6600,0
61,Aamer,Beausoleil,F,916,358-4569,SAN JOSE,CA,95160,S,Y,85000,9.3,87,0,272
